NI RH RM RS V DG DM DS
635 1 38 18 - 22 55 44
636 1 39 7 - 7 30 44
637 1 43 3 + 64 2 12
638 1 39 38 + 7 14 14
639 1 38 59 - 29 55 30
640 1 39 25 - 9 24 4
641 1 38 39 - 42 31 39
642 1 39 6 - 29 54 55
643 1 35 1 - 75 33 24
643 1 30 37 - 76 3 18
643 1 39 13 - 75 0 41
643 1 41 49 - 75 16 3
644 1 38 53 - 42 35 8
645 1 40 9 + 5 43 34
646 1 37 21 - 64 53 43
646 1 37 30 - 64 53 45
647 1 39 56 - 9 14 31
648 1 38 40 - 17 49 52
649 1 40 8 - 9 16 18
650 1 42 18 + 51 34 17
651 1 42 22 + 51 34 50
652 1 40 43 + 7 59 0
653 1 42 26 + 35 38 19
654 1 43 59 + 61 52 58
655 1 41 55 - 13 4 57
656 1 42 27 + 26 8 36
657 1 43 30 + 55 52 30
658 1 42 10 + 12 36 5
659 1 44 24 + 60 40 12
660 1 43 2 + 13 38 37
661 1 44 15 + 28 42 24
662 1 44 36 + 37 41 47
663 1 46 17 + 61 13 6
664 1 43 46 + 4 13 21
665 1 44 56 + 10 25 23
666 1 46 6 + 34 22 29
667 1 44 57 - 22 55 9
668 1 46 23 + 36 27 36
669 1 47 16 + 35 33 47
670 1 47 25 + 27 53 10
671 1 46 59 + 13 7 31
672 1 47 54 + 27 25 58
673 1 48 22 + 11 31 17
674 1 51 18 + 22 21 27
675 1 49 9 + 13 3 35
676 1 48 57 + 5 54 22
677 1 49 14 + 13 3 21
678 1 49 25 + 21 59 49
679 1 49 44 + 35 47 10
680 1 49 47 + 21 58 16
681 1 49 11 - 10 25 38
682 1 49 4 - 14 58 28
683 1 49 47 + 11 42 7
684 1 50 14 + 27 38 46
685 1 47 43 - 52 45 43
686 1 48 56 - 23 47 53
687 1 50 33 + 36 22 15
688 1 50 44 + 35 17 5
689 1 49 52 - 27 27 59
690 1 47 48 - 16 43 17
691 1 50 42 + 21 45 37
692 1 48 42 - 48 38 53
693 1 50 31 + 6 8 41
694 1 50 58 + 21 59 49
695 1 51 14 + 22 34 58
696 1 49 31 - 34 54 18
697 1 51 18 + 22 21 27
698 1 49 44 - 34 49 53
699 1 50 44 - 12 2 8
700 1 52 17 + 36 2 12
701 1 51 4 - 9 42 12
702 1 51 19 - 4 3 20
703 1 52 40 + 36 10 20
704 1 52 38 + 36 7 37
704 1 52 38 + 36 7 28
705 1 52 42 + 36 8 40
706 1 51 51 + 6 17 46
707 1 51 27 - 8 30 22
707 1 51 28 - 8 30 25
708 1 52 46 + 36 9 8
709 1 52 51 + 36 13 23
710 1 52 54 + 36 3 12
711 1 52 28 + 17 30 47
712 1 53 8 + 36 49 11
