NI RH RM RS V DG DM DS
404 5 13 20 + 9 45 17
405 5 16 29 + 34 21 22
406 5 17 49 + 39 53 8
407 5 17 43 - 15 31 24
408 5 19 45 - 25 3 52
409 5 19 34 + 3 19 2
410 5 22 45 + 33 24 48
411 5 20 19 - 25 19 28
412 5 21 57 + 3 29 11
413 5 21 59 + 3 28 56
414 5 21 55 + 3 20 35
415 5 21 22 - 15 32 32
416 5 23 56 - 17 15 37
417 5 28 6 + 34 25 26
418 5 27 28 - 12 41 48
419 5 30 52 + 30 7 5
420 5 32 14 - 4 31 12
421 5 32 9 - 7 55 4
422 5 32 19 - 17 13 26
423 5 33 22 - 0 36 52
424 5 33 37 - 0 24 47
425 5 37 12 + 32 25 0
426 5 36 31 - 0 17 54
427 5 36 18 - 6 37 0
428 5 36 24 - 6 27 6
429 5 38 18 - 7 2 12
430 5 38 18 - 7 2 26
431 5 40 14 - 1 27 48
432 5 40 55 - 1 30 24
433 5 40 31 - 11 39 55
434 5 41 0 - 2 27 12
435 5 43 0 - 2 18 46
436 5 53 40 + 38 37 42
437 5 51 37 - 12 33 52
438 5 53 0 - 17 52 33
439 5 56 42 + 32 1 0
440 6 19 13 + 80 4 6
441 6 2 43 - 12 29 59
442 6 36 12 + 82 58 8
443 6 16 36 + 22 31 0
444 6 22 30 + 22 52 0
445 6 37 21 + 67 51 36
446 6 31 6 + 10 27 35
447 6 31 4 + 9 52 0
448 6 32 45 + 7 23 18
449 6 45 41 + 71 20 37
450 6 52 12 + 74 25 39
451 6 52 52 + 74 28 48
452 6 48 39 - 16 54 4
453 6 49 12 - 16 54 23
454 6 51 6 + 12 55 21
455 7 34 58 + 85 32 16
456 7 0 17 - 30 9 47
457 7 9 28 + 50 9 11
458 7 10 34 + 50 7 11
459 7 10 39 + 50 10 40
460 7 10 44 + 50 12 8
461 7 10 45 + 50 4 53
462 7 10 56 + 50 10 52
463 7 11 1 + 50 7 10
464 7 11 5 + 50 8 10
465 7 11 34 + 50 14 56
466 7 8 39 - 4 19 2
467 7 30 18 + 79 52 21
468 7 17 19 - 13 13 7
469 7 55 59 + 85 9 31
470 7 23 31 + 46 4 45
471 7 43 36 + 49 40 5
472 7 43 50 + 49 36 48
473 7 42 25 + 9 15 17
474 7 46 7 + 26 30 16
475 7 47 9 + 30 29 20
476 7 47 16 + 26 57 3
